song_name,artist,featured_artists,base_rating,energy_rating,lyrics_rating,vocal_rating,instrumental_rating,production_rating,replay_value,consensus_notes
Black Hole Sun,Soundgarden,,85,8,8,8,7,8,9,"Dark mood, strong build, memorable chorus",
Thick Of It,KSI,Trippie Redd,45,7,3,4,4,5,3,"Energetic but repetitive, lyrics feel generic, low replay value",
Billie Jean,Michael Jackson,,92,8,7,10,8,10,10,"Excellent groove, strong vocal performance, iconic energy",
Wesley's Theory,Kendrick Lamar,"George Clinton; Thundercat",94,8.5,9.5,8.5,9.5,9.5,8.5,"Highly acclaimed album opener with ambitious funk/jazz-rap production, dense themes, and strong reputation among Kendrick fans and critics."
Monster,Kanye West,"Jay-Z; Rick Ross; Nicki Minaj; Bon Iver",90,9,8.5,8.5,8.5,9,9,"Widely remembered as a major posse cut, especially for Nicki Minaj's standout verse; dark, maximal hip-hop with strong cultural staying power."
Lost in the World,Kanye West,Bon Iver,91,8.5,8.5,8.5,9,9.5,8.5,"Generally viewed as one of the most euphoric and ambitious closers in Kanye's catalog, praised for scale, layering, and emotional release."
Godzilla,Eminem,Juice WRLD,78,9,6.5,8,7,7.5,8,"Commercially successful and admired for speed/technical rapping, though often viewed as more impressive technically than emotionally deep."
family ties,Baby Keem,Kendrick Lamar,88,9,8,8.5,8.5,9,9,"Strong modern rap consensus, praised for explosive performances, beat switch, and Kendrick's return energy."
Murder on My Mind,YNW Melly,,74,7.5,7.5,7.5,7,7,7.5,"A major viral melodic rap hit with a memorable hook and dark storytelling, but public reception is complicated by controversial subject matter and limited polish."
Heartless,Kanye West,,87,8,8,8,8,9,9,"Widely considered a defining 808s-era single with strong replay value, influential Auto-Tuned melancholy, and a memorable hook."
Kevin's Heart,J. Cole,,82,7,8.5,7.5,7.5,8,8,"Generally respected for candid writing and accessible storytelling, with moderate replay value and a restrained sound."
90210,Travis Scott,Kacy Hill,92,8,8,8,9,9.5,9.5,"Often regarded as one of Travis Scott's best songs because of its beat switch, atmosphere, storytelling, and polished psychedelic production."
Popular,The Weeknd,"Playboi Carti; Madonna",72,7.5,6.5,7.5,7,8,7.5,"Well-liked commercially and received positive press, though more often seen as slick and catchy than deeply essential."
"GONE, GONE / THANK YOU","Tyler, The Creator",,94,8,9,8.5,9.5,9.5,9,"Highly acclaimed among fans and critics as one of IGOR's emotional centerpieces, praised for structure, vulnerability, and production."
Love Me Again,John Newman,,79,8.5,7,8.5,7.5,8,8,"A strong pop-soul hit with powerful vocals and high energy, though often considered more catchy than groundbreaking."
Thunder,Imagine Dragons,,56,6.5,4.5,5.5,5,7,6,"Commercially huge but commonly criticized for repetitive writing and polarizing vocal hook, making consensus more mixed than its popularity suggests."
Animals,Maroon 5,,62,7,5,6.5,6,7,6.5,"A commercially effective pop-rock single, but public/critical reception is mixed due to lyrical framing and formulaic structure."
Cake by the Ocean,DNCE,,74,8,6,7,7.5,8,8,"Generally remembered as a fun, catchy pop-rock single with high replay value, though not usually treated as lyrically substantial."
Heat Waves,Glass Animals,,75,7,7.5,7,7.5,8,8.5,"Massive modern pop hit with strong atmosphere and replay value; some listeners find it overexposed but consensus remains broadly positive."
Sweater Weather,The Neighbourhood,,84,7.5,8,8,8,8.5,9,"A durable alt-pop/indie hit with strong atmosphere and cultural staying power, especially praised for mood and replayability."
Paralyzer,Finger Eleven,,76,8,6.5,7,7.5,7.5,8,"Popular and catchy alt-rock hit with strong groove, though generally viewed as more fun and hook-driven than artistically deep."
